accession,true_ec,name,length,struct_hit,struct_hit_ec,tm_score,struct_hit_identity,struct_agree,seq_hit,seq_hit_ec,seq_identity,seq_agree
Q9FJI5,1.1.1.49,"Glucose-6-phosphate 1-dehydrogenase 6, cytoplasmic (AtG6PD6) (G6PDH6) (EC 1.1.1.49)",515,Q9LK23,1.1.1.49,0.9821,89.13,4,Q9LK23,1.1.1.49,89.13,4
Q9LK23,1.1.1.49,"Glucose-6-phosphate 1-dehydrogenase 5, cytoplasmic (AtG6PD5) (G6PDH5) (EC 1.1.1.49)",516,Q9FJI5,1.1.1.49,0.9821,89.13,4,Q9FJI5,1.1.1.49,89.13,4
O52762,1.11.1.6,Catalase A (EC 1.11.1.6),482,P42321,1.11.1.6,0.9867,76.14,4,P42321,1.11.1.6,76.14,4
P15202,1.11.1.6,Peroxisomal catalase A (EC 1.11.1.6),515,P42321,1.11.1.6,0.9668,46.49,4,P26901,1.11.1.6,47.83,4
P17336,1.11.1.6,Catalase (EC 1.11.1.6),506,P42321,1.11.1.6,0.9819,48.14,4,P26901,1.11.1.6,54.04,4
P25819,1.11.1.6,Catalase-2 (EC 1.11.1.6),492,Q0D9C4,1.11.1.6,0.9897,83.74,4,Q0D9C4,1.11.1.6,83.74,4
P26901,1.11.1.6,Vegetative catalase (EC 1.11.1.6),483,O52762,1.11.1.6,0.9842,55.39,4,O52762,1.11.1.6,55.39,4
P29422,1.11.1.6,Catalase (EC 1.11.1.6),503,P26901,1.11.1.6,0.9627,51.76,4,P26901,1.11.1.6,51.76,4
P42321,1.11.1.6,Catalase (EC 1.11.1.6),484,O52762,1.11.1.6,0.9867,76.14,4,O52762,1.11.1.6,76.14,4
Q0D9C4,1.11.1.6,Catalase isozyme B (CAT-B) (EC 1.11.1.6),492,P25819,1.11.1.6,0.9897,83.74,4,P25819,1.11.1.6,83.74,4
A5H8G4,1.11.1.7,Peroxidase 1 (EC 1.11.1.7) (Plasma membrane-bound peroxidase 1) (pmPOX1),367,P00433,1.11.1.7,0.8619,40.79,4,P00433,1.11.1.7,40.79,4
B0BK71,1.11.1.7,Dye-decolorizing peroxidase msp1 (EC 1.11.1.19) (EC 1.11.1.7) (Peroxidase 1) (MsP1),513,I2DBY1,1.11.1.7,0.9028,51.28,4,I2DBY1,1.11.1.7,51.28,4
I2DBY1,1.11.1.7,Dye-decolorizing peroxidase AauDyP1 (EC 1.11.1.19) (EC 1.11.1.7) (AjP I) (Manganese-independent peroxidase I) [Cleaved into: Dye-decolorizing peroxidase AauDyP2 (EC 1.11.1.19) (EC 1.11.1.7) (AjP II) (Manganese-independent peroxidase II)],509,B0BK71,1.11.1.7,0.9028,51.28,4,B0BK71,1.11.1.7,51.28,4
I6Y4U9,1.11.1.7,Dye-decolorizing peroxidase (DyP) (EC 1.11.1.7),335,B0BK71,1.11.1.7,0.7859,5.37,4,P00441,1.15.1.1,16.23,1
K7N5M8,1.11.1.7,Multifunctional dye peroxidase DyP2 (EC 1.11.1.16) (EC 1.11.1.19) (EC 1.11.1.7) (Dye decolorizing peroxidase 2) (DyP2) (Manganese peroxidase),464,B0BK71,1.11.1.7,0.8364,30.39,4,B0BK71,1.11.1.7,30.39,4
O04795,1.11.1.7,Anionic peroxidase (EC 1.11.1.7) (SwPA1),364,O04796,1.11.1.7,0.8122,65.8,4,O04796,1.11.1.7,65.8,4
O04796,1.11.1.7,Neutral peroxidase (EC 1.11.1.7) (SwPN1),348,O04795,1.11.1.7,0.8122,65.8,4,O04795,1.11.1.7,65.8,4
P00433,1.11.1.7,Peroxidase C1A (EC 1.11.1.7),353,A5H8G4,1.11.1.7,0.8619,40.79,4,A5H8G4,1.11.1.7,40.79,4
A0A1D1VU85,1.15.1.1,Superoxide dismutase [Cu-Zn] (CuZnSOD) (EC 1.15.1.1) (RvSOD15),194,P00441,1.15.1.1,0.9695,46.1,4,P00441,1.15.1.1,46.1,4
J9VLJ9,1.15.1.1,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (CnSOD1),154,P00441,1.15.1.1,0.9821,59.74,4,P00441,1.15.1.1,59.74,4
J9VWW9,1.15.1.1,"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)",225,O81235,1.15.1.1,0.9098,48.0,4,O81235,1.15.1.1,48.0,4
O09164,1.15.1.1,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),251,J9VLJ9,1.15.1.1,0.9171,37.66,4,P00441,1.15.1.1,38.31,4
O78310,1.15.1.1,"Superoxide dismutase [Cu-Zn] 2, chloroplastic (EC 1.15.1.1) (Copper/zinc superoxide dismutase 2)",216,P00441,1.15.1.1,0.9732,57.79,4,P00442,1.15.1.1,57.89,4
O81235,1.15.1.1,"Superoxide dismutase [Mn] 1, mitochondrial (EC 1.15.1.1) (Protein MANGANESE SUPEROXIDE DISMUTASE 1) (AtMSD1) (Protein MATERNAL EFFECT EMBRYO ARREST 33)",231,J9VWW9,1.15.1.1,0.9098,48.0,4,J9VWW9,1.15.1.1,48.0,4
P00441,1.15.1.1,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (EC 1.8.-.-) (Hydrogen sulfide oxidase) (Superoxide dismutase 1) (hSod1),154,P00442,1.15.1.1,0.9842,82.89,4,P00442,1.15.1.1,82.89,4
P00442,1.15.1.1,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (EC 1.8.-.-) (Hydrogen sulfide oxidase),152,P00441,1.15.1.1,0.9842,82.89,4,P00441,1.15.1.1,82.89,4
P06715,1.8.1.7,Glutathione reductase (GR) (GRase) (EC 1.8.1.7),450,Q8T137,1.8.1.7,0.9833,52.67,4,Q93379,1.8.1.7,56.67,4
P41921,1.8.1.7,Glutathione reductase (GR) (GRase) (EC 1.8.1.7),483,P06715,1.8.1.7,0.9769,51.33,4,P78965,1.8.1.7,57.76,4
P47791,1.8.1.7,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",500,P06715,1.8.1.7,0.9796,56.44,4,Q93379,1.8.1.7,59.41,4
P78965,1.8.1.7,Glutathione reductase (GR) (GRase) (EC 1.8.1.7),464,P06715,1.8.1.7,0.9772,50.89,4,P41921,1.8.1.7,57.76,4
Q93379,1.8.1.7,"Glutathione reductase, mitochondrial (GR) (EC 1.8.1.7) (Glutathione disulfide reductase)",473,P06715,1.8.1.7,0.983,56.67,4,P47791,1.8.1.7,59.41,4
Q94655,1.8.1.7,Glutathione reductase (GRase) (PfGR) (EC 1.8.1.7),500,P06715,1.8.1.7,0.967,46.22,4,P06715,1.8.1.7,46.22,4
P48641,1.8.1.7,"Glutathione reductase, cytosolic (GR) (GRase) (EC 1.8.1.7) (OBP29)",499,P06715,1.8.1.7,0.9653,40.0,4,P06715,1.8.1.7,40.0,4
Q8T137,1.8.1.7,Glutathione reductase (GR) (GRase) (GSR) (EC 1.8.1.7),465,P06715,1.8.1.7,0.9833,52.67,4,P47791,1.8.1.7,54.84,4
E9L7A5,2.6.1.1,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase (PhPPA-AT) (EC 2.6.1.1) (EC 2.6.1.78) (EC 2.6.1.79),479,O85746,2.6.1.1,0.8073,13.1,4,P00950,5.4.2.11,17.0,0
O85746,2.6.1.1,Tyrosine aminotransferase (TyrAT) (EC 2.6.1.5) (Aromatic-amino-acid transaminase) (EC 2.6.1.57) (Aspartate aminotransferase) (EC 2.6.1.1),397,P00504,2.6.1.1,0.9825,39.04,4,P00507,2.6.1.1,39.55,4
P00503,2.6.1.1,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",413,P00504,2.6.1.1,0.9979,82.28,4,P00504,2.6.1.1,82.28,4
P00504,2.6.1.1,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",412,P00503,2.6.1.1,0.9979,82.28,4,P00503,2.6.1.1,82.28,4
P00505,2.6.1.1,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",430,O85746,2.6.1.1,0.981,38.79,4,P00507,2.6.1.1,94.65,4
P00506,2.6.1.1,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",430,P00507,2.6.1.1,0.9851,94.19,4,P00507,2.6.1.1,94.19,4
P00507,2.6.1.1,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",430,P00506,2.6.1.1,0.9851,94.19,4,P00505,2.6.1.1,94.65,4
P00508,2.6.1.1,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Transaminase A)",423,O85746,2.6.1.1,0.9807,37.78,4,P00506,2.6.1.1,84.87,4
P04818,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),313,P0A884,2.1.1.45,0.9747,54.92,4,P07607,2.1.1.45,90.55,4
P06785,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45) (Cell division cycle protein 21) (Constitutive RNR3 transcription protein 9),304,P0A884,2.1.1.45,0.9697,56.82,4,O76511,2.1.1.45,65.13,4
P07607,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),307,P0A884,2.1.1.45,0.9742,54.92,4,P45352,2.1.1.45,97.07,4
P0A884,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),264,P9WFR9,2.1.1.45,0.9905,65.91,4,P9WFR9,2.1.1.45,65.91,4
P45352,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),307,P0A884,2.1.1.45,0.9738,54.55,4,P07607,2.1.1.45,97.07,4
P9WFR9,2.1.1.45,Thymidylate synthase ThyA (TS) (TSase) (EC 2.1.1.45),266,P0A884,2.1.1.45,0.9905,65.91,4,P0A884,2.1.1.45,65.91,4
Q05762,2.1.1.45,Bifunctional dihydrofolate reductase-thymidylate synthase 1 (DHFR-TS 1) [Includes: Dihydrofolate reductase (EC 1.5.1.3); Thymidylate synthase (EC 2.1.1.45)],519,P9WFR9,2.1.1.45,0.974,47.74,4,P45352,2.1.1.45,61.56,4
O76511,2.1.1.45,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),321,P0A884,2.1.1.45,0.9743,55.3,4,P06785,2.1.1.45,65.13,4
O64390,2.7.1.1,Hexokinase-1 (EC 2.7.1.1) (StHK1),498,P50521,2.7.1.1,0.9144,29.01,4,P35557,2.7.1.1,34.41,4
P04806,2.7.1.1,Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A),485,P04807,2.7.1.1,0.9961,77.53,4,P04807,2.7.1.1,77.53,4
P04807,2.7.1.1,Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B),486,P04806,2.7.1.1,0.9961,77.53,4,P04806,2.7.1.1,77.53,4
P17712,2.7.1.1,Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D),465,P52792,2.7.1.1,0.9973,97.85,4,P52792,2.7.1.1,97.85,4
P33284,2.7.1.1,Hexokinase (EC 2.7.1.1),485,P04807,2.7.1.1,0.9741,73.4,4,P04807,2.7.1.1,73.4,4
P35557,2.7.1.1,Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D),465,P52792,2.7.1.1,0.9977,95.91,4,P17712,2.7.1.1,96.99,4
P50521,2.7.1.1,Hexokinase-2 (EC 2.7.1.1),455,P33284,2.7.1.1,0.9322,36.04,4,P04807,2.7.1.1,37.58,4
P52792,2.7.1.1,Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D),465,P35557,2.7.1.1,0.9977,95.91,4,P17712,2.7.1.1,97.85,4
P00549,2.7.1.40,Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19),500,P46614,2.7.1.40,0.9929,72.4,4,P46614,2.7.1.40,72.4,4
P0AD61,2.7.1.40,Pyruvate kinase I (EC 2.7.1.40) (PK-1),470,P77983,2.7.1.40,0.9905,95.74,4,P77983,2.7.1.40,95.74,4
P21599,2.7.1.40,Pyruvate kinase II (EC 2.7.1.40) (PK-2),480,P9WKE5,2.7.1.40,0.952,38.35,4,P46614,2.7.1.40,40.0,4
P46614,2.7.1.40,Pyruvate kinase (PK) (EC 2.7.1.40),504,P00549,2.7.1.40,0.9929,72.4,4,P00549,2.7.1.40,72.4,4
P52489,2.7.1.40,Pyruvate kinase 2 (PK 2) (EC 2.7.1.40),506,P00549,2.7.1.40,0.989,70.8,4,P00549,2.7.1.40,70.8,4
P77983,2.7.1.40,Pyruvate kinase I (EC 2.7.1.40) (PK-1),470,P0AD61,2.7.1.40,0.9905,95.74,4,P0AD61,2.7.1.40,95.74,4
P78031,2.7.1.40,Pyruvate kinase (PK) (EC 2.7.1.40),508,P9WKE5,2.7.1.40,0.9032,26.48,4,P0AD61,2.7.1.40,34.26,4
P9WKE5,2.7.1.40,Pyruvate kinase (PK) (EC 2.7.1.40),472,P52489,2.7.1.40,0.9544,35.17,4,P0AD61,2.7.1.40,40.0,4
A4Q998,2.4.2.1,Purine nucleoside phosphorylase (EC 2.4.2.1) (AgPNP) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),353,P23492,2.4.2.1,0.9699,53.29,4,P00491,2.4.2.1,53.98,4
A5K9M4,2.4.2.1,Purine nucleoside phosphorylase (EC 2.4.2.1) (PvPNP),245,P0ABP8,2.4.2.1,0.9112,29.71,4,P0ABP8,2.4.2.1,29.71,4
P00491,2.4.2.1,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),289,P23492,2.4.2.1,0.9939,84.08,4,P23492,2.4.2.1,84.08,4
P0ABP8,2.4.2.1,Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1),239,A5K9M4,2.4.2.1,0.9112,29.71,4,A5K9M4,2.4.2.1,29.71,4
P0C037,2.4.2.1,Pyrimidine/purine nucleoside phosphorylase (EC 2.4.2.1) (EC 2.4.2.2) (Adenosine phosphorylase) (Cytidine phosphorylase) (Guanosine phosphorylase) (Inosine phosphorylase) (Thymidine phosphorylase) (Uridine phosphorylase) (Xanthosine phosphorylase),94,P84140,5.3.1.9,0.7388,17.02,0,O09131,2.5.1.18,26.6,1
P23492,2.4.2.1,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),289,P00491,2.4.2.1,0.9939,84.08,4,P00491,2.4.2.1,84.08,4
P33644,2.4.2.1,Peptidoglycan editing factor PgeF (PG-editing factor) (EC 3.5.-.-) (Adenosine deaminase) (EC 3.5.4.4) (Polyphenol oxidase) (EC 1.10.3.-) (Proofreading amidase PgeF) (Purine nucleoside phosphorylase) (EC 2.4.2.1) (S-methyl-5'-thioadenosine phosphorylase) (EC 2.4.2.28),243,P00334,1.1.1.1,0.4319,2.88,0,P48641,1.8.1.7,14.81,0
P45563,2.4.2.1,Purine nucleoside phosphorylase 2 (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase II) (PNP II) (Xanthosine phosphorylase),277,P23492,2.4.2.1,0.9432,41.16,4,P00491,2.4.2.1,41.16,4
O09131,2.5.1.18,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R) (p28),240,O73888,2.5.1.18,0.8014,12.06,4,P0C037,2.4.2.1,26.6,1
O14684,2.5.1.18,Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein),152,Q9HLI6,4.3.1.3,0.5913,8.55,0,P07478,3.4.21.4,13.82,0
O15217,2.5.1.18,Glutathione S-transferase A4 (EC 2.5.1.18) (GST class-alpha member 4) (Glutathione S-transferase A4-4),222,O73888,2.5.1.18,0.8667,18.09,4,O60760,2.5.1.18,27.14,4
O35543,2.5.1.18,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),199,O60760,2.5.1.18,0.9973,81.41,4,O60760,2.5.1.18,81.41,4
O43708,2.5.1.18,Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18),216,O60760,2.5.1.18,0.8285,19.1,4,O09131,2.5.1.18,21.3,4
O43813,2.5.1.18,Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1),399,O25001,3.5.2.6,0.4729,8.8,0,P0C037,2.4.2.1,14.89,1
O60760,2.5.1.18,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),199,O35543,2.5.1.18,0.9973,81.41,4,O35543,2.5.1.18,81.41,4
O73888,2.5.1.18,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),199,O35543,2.5.1.18,0.9895,69.85,4,O35543,2.5.1.18,69.85,4
H2N0D4,3.2.1.1,Alpha-amylase (EC 3.2.1.1),512,P00687,3.2.1.1,0.9877,74.17,4,P00687,3.2.1.1,74.17,4
P00687,3.2.1.1,"Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary and hepatic alpha-amylase)",511,P00688,3.2.1.1,0.9977,88.58,4,P00688,3.2.1.1,88.58,4
P00688,3.2.1.1,"Pancreatic alpha-amylase 2a5 (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",508,P00687,3.2.1.1,0.9977,88.58,4,P00687,3.2.1.1,88.58,4
P00690,3.2.1.1,"Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",511,H2N0D4,3.2.1.1,0.9876,74.17,4,P04746,3.2.1.1,86.3,4
P00693,3.2.1.1,"Alpha-amylase type A isozyme (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (HvAMY1) (Low pI alpha-amylase)",438,P06278,3.2.1.1,0.7963,23.52,4,P06278,3.2.1.1,23.52,4
P04746,3.2.1.1,"Pancreatic alpha-amylase (PA) (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",511,P00687,3.2.1.1,0.9884,84.93,4,P00690,3.2.1.1,86.3,4
P06278,3.2.1.1,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (BLA)",512,P00693,3.2.1.1,0.7963,23.52,4,P00693,3.2.1.1,23.52,4
P08144,3.2.1.1,"Alpha-amylase A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",494,P00688,3.2.1.1,0.981,57.09,4,P00688,3.2.1.1,57.09,4
